Countries,National Income,Growth,Per person,Continent
United States,20412.87,2.27,62152,North America
China,14092.51,6.86,10088,Asia
Japan,5167.05,1.71,40849,Asia
Germany,4211.64,2.51,50842,Europe
United Kingdom,2936.29,1.79,44177,Europe
France,2925.1,1.85,44934,Europe
India,2848.23,6.74,2135,Asia
Italy,2181.97,1.47,35914,Europe
Brazil,2138.92,0.98,10224,South America
Canada,1798.51,3,48466,North America
Russia,1719.9,1.55,11947,Europe
Korea,1693.25,3.09,32775,Asia
Spain,1506.44,3.05,32559,Europe
Mexico,1212.83,2.04,9723,North America
Indonesia,1074.97,5.07,4052,Asia
Netherlands,945.33,3.11,55185,Europe
Turkey,909.89,7.05,11114,Asia
Saudi Arabia,748,-0.74,2265,Asia
Switzerland,741.69,1.07,86835,Europe
Argentina,625.92,2.86,14044,South America
Poland,614.19,4.55,1618,Europe
Taiwan Province of China,613.3,2.79,25977,Asia
Sweden,600.77,2.4,58345,Europe
Belgium,562.23,1.71,49272,Europe
Thailand,483.74,3.9,6992,Asia
Austria,477.67,2.9,53764,Europe
Norway,443.25,1.81,82711,Europe
Islamic Republic of Iran,418.88,4.28,5086,Asia
United Arab Emirates,411.83,0.53,39484,Asia
Nigeria,408.61,0.82,2108,Africa
Ireland,385.14,7.81,80641,Europe
Israel,373.75,3.32,42115,Asia
South Africa,370.89,1.32,6459,Africa
Denmark,369.76,2.11,6383,Europe
Malaysia,364.92,5.9,11237,Asia
Hong Kong SAR,364.78,3.82,48829,Asia
Singapore,349.66,3.62,61767,Asia
Philippines,332.45,6.67,3095,Asia
Colombia,327.98,1.77,6581,South America
Pakistan,324.73,5.28,1615,Asia
Finland,289.56,2.99,52422,Europe
Bangladesh,285.82,7.14,1734,Asia
Chile,280.27,1.47,15087,South America
Egypt,253.25,4.23,2611,Africa
Czech Republic,251.58,4.29,2375,Europe
Portugal,248.89,2.67,24237,Europe
Romania,245.59,7,12575,Europe
Vietnam,240.78,6.81,2546,Asia
Peru,231.57,2.51,7199,South America
